file,frames,avg_latency_ms,min_latency_ms,max_latency_ms,p95_latency_ms,avg_fps
mini squat 45 _manas_2.db3,704,0.2552892036956936,0.1514999894425273,1.0114999604411423,0.3461550164502114,3917.1260888572733
mini squat _side wrong_anurag_1.db3,598,0.26512357733760616,0.16469997353851795,0.7645000005140901,0.37512999551836396,3771.825991645429
mini squat wrong_45_anurag_1.db3,485,0.2522997937366827,0.16189995221793652,0.583200016990304,0.3365399548783898,3963.538713962122
mini squat wrong_front _manas_1.db3,929,0.2566599589095835,0.16559998039156199,0.8092000498436391,0.3427199902944266,3896.205720005906
mini squat wrong_front_anurag_1.db3,872,0.2629051605504382,0.17150002531707287,1.3060999917797744,0.3474900266155598,3803.6529899463517
mini squat wrong_side_manas_1.db3,1217,0.249794742175521,0.13699999544769526,0.6968000088818371,0.32745999051257974,4003.2868237768557
mini squat_45_anurag_1.db3,659,0.2506696513983985,0.16589998267591,0.6427000043913722,0.34323999425396323,3989.3142006674884
mini squat_45_sub2_1.db3,242,0.2662181796040386,0.13599998783320189,0.4991000168956816,0.3467300208285451,3756.317474213657
mini squat_45_vikas_1.db3,400,0.25992150040110573,0.1677999971434474,0.705899961758405,0.353925017407164,3847.3154335321233
mini squat_front2_manas_2.db3,700,0.25872728596108835,0.16220001270994544,0.6652000010944903,0.3516500000841915,3865.0735900750583
mini squat_front_anurag_1.db3,564,0.2590297856112176,0.17830001888796687,0.6232000305317342,0.33356998756062245,3860.5598875062105
mini squat_front_manas_1.db3,881,0.25394165803330543,0.16160000814124942,2.1373999770730734,0.3352999920025468,3937.912384067549
mini squat_front_sub2_1.db3,251,0.25074581770538035,0.15549996169283986,0.6022000452503562,0.3276499919593334,3988.1024104456783
mini squat_front_vikas_1.db3,408,0.2562325961680115,0.16219995450228453,0.8676000288687646,0.35463000531308336,3902.7040858778987
mini squat_side_anurag_1.db3,669,0.2530747368550332,0.1647999742999673,1.5616999589838088,0.337380007840693,3951.4019156041727
mini squat_side_manas_1.db3,867,0.25625720829890897,0.13830000534653664,0.8229000377468765,0.33918002154678106,3902.3292520753553
mini squat_side_manas_2.db3,861,0.2602504060763766,0.16880000475794077,0.5964000010862947,0.3494999837130308,3842.4531783690145
mini squat_side_sub1_1.db3,555,0.25997531594003775,0.17180002760142088,0.7012999849393964,0.34943002392537875,3846.5190296398982
mini squat_side_sub2_1.db3,266,0.23118984868883022,0.13529998250305653,0.5171999800950289,0.3074000123888254,4325.449433318109
mini squat_side_vikas_1.db3,422,0.2553066363176375,0.15649996930733323,0.7663000142201781,0.3812999959336594,3916.8586231180407
my_depth_data.db3,1035,0.24506106274202466,0.13489997945725918,0.9870000067166984,0.36775000626221294,4080.615618045769
pendulum excercise front_front_manas_1.db3,1573,0.26025123929294647,0.15789997996762395,1.706400013063103,0.371679977979511,3842.440876426992
pendulum shoulder wrong_side_manas_1.db3,1359,0.23665482088727458,0.15839998377487063,0.9710000013001263,0.331809971248731,4225.5636130747935
pendulum shoulder_45_manas_1.db3,1214,0.23670337736166253,0.14050002209842205,0.9225000394508243,0.3438349987845868,4224.69679624421
pendulum shoulder_front_manas_2.db3,1255,0.23167003943321418,0.14000001829117537,0.8177999989129603,0.3235200187191367,4316.483920175961
pendulum shoulder_side_manas_1.db3,1157,0.23559455514516014,0.14110002666711807,0.9893999667838216,0.3365400014445186,4244.58026792621
shoulder circle_45_manas_2.db3,930,0.24338430162989885,0.14079996617510915,0.8648000075481832,0.33016501110978425,4108.728431962079
shoulder circle_front_manas_1.db3,966,0.25443830263442274,0.15769997844472528,1.0887999669648707,0.3444500034675002,3930.22587262265
shoulder circle_front_manas_2.db3,1035,0.24784106265186615,0.16120000509545207,0.9851000504568219,0.337159988703206,4034.8439007650068
shoulder circle_front_manas_3.db3,609,0.27398045758956857,0.1674999948590994,0.7351000094786286,0.36643999628722673,3649.8953567631156
shoulder circle_side_manas_1.db3,1058,0.2419085999213983,0.13589998707175255,0.8075999794527888,0.34047997323796153,4133.792681719142
shoulder circle_side_manas_2.db3,814,0.23870712534595437,0.13640004908666015,0.7227999740280211,0.33054501400329167,4189.233976785218
shoulder circlr_front_manas_2.db3,865,0.24887953704556806,0.16060000052675605,0.8156999829225242,0.35745999775826914,4018.008116982744
sit to stand wrong_side_manas_1.db3,933,0.2394011796308364,0.13689999468624592,0.8545999880880117,0.34245998831465835,4177.0888578829445
sit to stand_45_manas_1.db3,1195,0.2405645183548643,0.15979999443516135,1.105800038203597,0.3259599965531379,4156.888999419559
sit to stand_front_manas_1.db3,1495,0.23321170619934997,0.13910001143813133,1.193900010548532,0.32205000752583146,4287.949418564767
sit to stand_front_manas_2.db3,1080,0.24846361080158708,0.14269998064264655,1.2716999626718462,0.36905001325067127,4024.73423280707
sit to stand_side_manas_1.db3,1294,0.25220556411182526,0.1571999746374786,0.9855999960564077,0.34701498516369605,3965.019580442764
